Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year
Volvo,XC60,2012,Crossover,235000.0,2400.0,Diesel,Automatic,17000.0,10,23500.0
Renault,Megane,2011,Universal,178555.0,1500.0,Diesel,Manual,6499.0,11,16232.272727272728
Volkswagen,Passat,2016,Sedan,147000.0,1400.0,Petrol,Automatic,13490.0,6,24500.0
Dacia,Lodgy,2012,Universal,131000.0,1500.0,Diesel,Manual,6250.0,10,13100.0
Mazda,6,2007,Sedan,189000.0,1800.0,Petrol,Manual,4490.0,15,12600.0
Renault,Kadjar,2016,Crossover,125000.0,1500.0,Diesel,Automatic,13500.0,6,20833.333333333332
Volkswagen,Passat CC,2014,Sedan,133000.0,2000.0,Petrol,Automatic,11990.0,8,16625.0
Nissan,Qashqai,2013,Crossover,150000.0,1600.0,Petrol,Manual,8990.0,9,16666.666666666668
KIA,Sorento,2006,SUV,206885.0,2500.0,Diesel,Automatic,7950.0,16,12930.3125
Nissan,Qashqai,2019,Crossover,84700.0,1500.0,Diesel,Automatic,17900.0,3,28233.333333333332
Ford,Fusion,2015,Sedan,160000.0,2000.0,Plug-in Hybrid,Automatic,10999.0,7,22857.14285714286
Renault,Scenic,2013,Universal,191000.0,1500.0,Diesel,Manual,8450.0,9,21222.222222222223
Renault,Megane,2017,Universal,176000.0,1500.0,Diesel,Automatic,10990.0,5,35200.0
Honda,Accord,2018,Sedan,18000.0,2000.0,Hybrid,Automatic,19990.0,4,4500.0
Ford,Rare,2016,Minivan,177000.0,1600.0,Diesel,Manual,12990.0,6,29500.0
Mercedes,A Class,2016,Hatchback,158000.0,1500.0,Diesel,Automatic,12990.0,6,26333.333333333332
KIA,Sorento,2006,SUV,204555.0,2500.0,Diesel,Automatic,7499.0,16,12784.6875
Hyundai,Sonata,2016,Sedan,54000.0,2000.0,Hybrid,Automatic,14990.0,6,9000.0
Renault,Clio,2016,Universal,180000.0,1500.0,Diesel,Automatic,8400.0,6,30000.0
Volkswagen,Polo,2011,Hatchback,177000.0,1200.0,Diesel,Manual,5800.0,11,16090.90909090909
Toyota,Prius,2013,Hatchback,109111.0,1800.0,Hybrid,Automatic,10199.0,9,12123.444444444445
Mercedes,E Class,2007,Sedan,276850.0,2200.0,Diesel,Automatic,8599.0,15,18456.666666666668
BMW,7 Series,2010,Sedan,178000.0,4400.0,Hybrid,Automatic,15990.0,12,14833.333333333334
Toyota,Auris,2016,Hatchback,148000.0,1800.0,Hybrid,Automatic,12000.0,6,24666.666666666668
Renault,Rare,2015,Crossover,130000.0,1500.0,Diesel,Automatic,9800.0,7,18571.428571428572
Opel,Insignia,2010,Universal,205000.0,2000.0,Diesel,Manual,8999.0,12,17083.333333333332
Honda,Civic,2011,Sedan,171000.0,1300.0,Hybrid,Automatic,7100.0,11,15545.454545454546
Skoda,Fabia,2011,Universal,231000.0,1248.0,Diesel,Manual,5999.0,11,21000.0
Mercedes,C Class,2001,Sedan,286350.0,2000.0,Petrol,Automatic,4299.0,21,13635.714285714286
Skoda,Fabia,2012,Universal,180000.0,1200.0,Diesel,Manual,4990.0,10,18000.0
Infiniti,Rare,2015,Sedan,170222.0,2200.0,Diesel,Automatic,15999.0,7,24317.428571428572
Skoda,Fabia,2011,Universal,165000.0,1200.0,Diesel,Manual,5490.0,11,15000.0
Audi,Q5,2016,Crossover,65000.0,2000.0,Petrol,Automatic,19899.0,6,10833.333333333334
Skoda,Octavia,2015,Universal,175700.0,2000.0,Diesel,Automatic,14950.0,7,25100.0
Seat,Rare,2012,Universal,171000.0,1400.0,Petrol,Manual,9550.0,10,17100.0
Renault,Grand Scenic,2013,Universal,212000.0,1500.0,Diesel,Manual,8500.0,9,23555.555555555555
Toyota,Auris,2007,Sedan,220000.0,1400.0,Diesel,Manual,5200.0,15,14666.666666666666
Volkswagen,Passat,2014,Universal,199000.0,1600.0,Diesel,Manual,10999.0,8,24875.0
Nissan,Qashqai,2011,Crossover,162333.0,1500.0,Diesel,Manual,7990.0,11,14757.545454545454
Toyota,Avensis,2016,Universal,162000.0,2000.0,Diesel,Manual,13999.0,6,27000.0
Nissan,Juke,2012,Crossover,118483.0,1598.0,Petrol,Automatic,7500.0,10,11848.3
Mercedes,E Class,2020,Sedan,12000.0,2000.0,Diesel,Automatic,39899.0,2,6000.0
Mercedes,M Class,2013,SUV,199000.0,2200.0,Diesel,Automatic,24899.0,9,22111.11111111111
Ford,Fusion,2015,Sedan,169000.0,2000.0,Plug-in Hybrid,Automatic,11999.0,7,24142.85714285714
Mitsubishi,Outlander,2007,SUV,232000.0,3000.0,Metan/Propan,Automatic,9200.0,15,15466.666666666666
Chevrolet,Aveo,2011,Sedan,140000.0,1399.0,Metan/Propan,Manual,4499.0,11,12727.272727272728
Land Rover,Range Rover,2004,SUV,250000.0,3000.0,Diesel,Automatic,8999.0,18,13888.888888888889
Toyota,Auris,2007,Hatchback,251000.0,1400.0,Diesel,Manual,6999.0,15,16733.333333333332
Audi,A6,2016,Sedan,59000.0,2000.0,Petrol,Automatic,20499.0,6,9833.333333333334
BMW,5 Series,1994,Sedan,320000.0,2000.0,Petrol,Manual,2400.0,28,11428.57142857143
Mercedes,S Class,2010,Sedan,248000.0,3500.0,Hybrid,Automatic,15799.0,12,20666.666666666668
Nissan,Rare,2011,Hatchback,143000.0,1000.0,Petrol,Manual,3400.0,11,13000.0
Skoda,Octavia,2011,Sedan,192000.0,1400.0,Petrol,Manual,6099.0,11,17454.545454545456
Volkswagen,Transporter,1997,Minivan,350000.0,1900.0,Diesel,Manual,3899.0,25,14000.0
Ford,Fiesta,2010,Hatchback,241828.0,1400.0,Diesel,Manual,4800.0,12,20152.333333333332
Hyundai,Tucson,2005,Crossover,148000.0,200.0,Diesel,Manual,7100.0,17,8705.882352941177
Skoda,Rare,2019,Crossover,58255.0,2000.0,Diesel,Automatic,24999.0,3,19418.333333333332
Mercedes,Rare,2014,Coupe,140000.0,2143.0,Diesel,Automatic,26000.0,8,17500.0
Renault,Megane,2017,Sedan,88600.0,1500.0,Diesel,Manual,9500.0,5,17720.0
Opel,Vectra,2005,Universal,290000.0,1900.0,Diesel,Manual,3999.0,17,17058.823529411766
Toyota,Rav 4,2017,Crossover,106000.0,2500.0,Hybrid,Automatic,22000.0,5,21200.0
BMW,5 Series,2003,Universal,334000.0,2500.0,Diesel,Manual,6800.0,19,17578.947368421053
Land Rover,Range Rover Sport,2008,SUV,207000.0,2700.0,Diesel,Manual,11990.0,14,14785.714285714286
Seat,Rare,2012,Microvan,150000.0,1600.0,Diesel,Manual,4700.0,10,15000.0
BMW,5 Series,2015,Sedan,1234.0,2000.0,Diesel,Automatic,21500.0,7,176.28571428571428
Porsche,Cayenne,2008,Crossover,150000.0,4800.0,Petrol,Automatic,12900.0,14,10714.285714285714
Renault,Megane,2012,Universal,254000.0,1500.0,Diesel,Manual,7099.0,10,25400.0
Dacia,Rare,2011,Minivan,100000.0,1600.0,Petrol,Manual,3800.0,11,9090.90909090909
Honda,CR-V,2004,SUV,180000.0,2000.0,Petrol,Manual,7200.0,18,10000.0
Volkswagen,Passat,2004,Sedan,214000.0,1800.0,Metan/Propan,Automatic,3700.0,18,11888.888888888889
Mercedes,E Class,2004,Sedan,343150.0,3222.0,Diesel,Automatic,8500.0,18,19063.88888888889
Dacia,Logan Mcv,2014,Universal,156800.0,1500.0,Diesel,Manual,5650.0,8,19600.0
Audi,A6,2020,Sedan,35000.0,1968.0,Diesel,Automatic,39500.0,2,17500.0
Dacia,Logan,2009,Universal,224000.0,1500.0,Diesel,Manual,3799.0,13,17230.76923076923
Volkswagen,Jetta,2006,Sedan,190000.0,1600.0,Petrol,Manual,4699.0,16,11875.0
Toyota,Prius,2007,Hatchback,167000.0,1500.0,Petrol,Automatic,6500.0,15,11133.333333333334
Toyota,Rare,2012,Minivan,150000.0,1800.0,Hybrid,Automatic,9699.0,10,15000.0
BMW,X5,2006,Crossover,123129.0,3000.0,Petrol,Automatic,14000.0,16,7695.5625
Renault,Grand Scenic,2011,Universal,239000.0,1500.0,Diesel,Automatic,6900.0,11,21727.272727272728
Nissan,Qashqai,2013,Crossover,220000.0,1500.0,Diesel,Manual,8800.0,9,24444.444444444445
Audi,A6,2009,Sedan,270000.0,2000.0,Petrol,Manual,9200.0,13,20769.23076923077
Toyota,Auris,2011,Hatchback,176200.0,1400.0,Diesel,Manual,7599.0,11,16018.181818181818
Renault,Rare,2015,Universal,198000.0,1500.0,Diesel,Automatic,10950.0,7,28285.714285714286
Renault,Megane,2006,Cabriolet,180000.0,1500.0,Diesel,Manual,4500.0,16,11250.0
Renault,Megane,2010,Sedan,220100.0,1500.0,Diesel,Manual,5000.0,12,18341.666666666668
Toyota,Corolla Verso,2006,Minivan,300000.0,1800.0,Petrol,Manual,6000.0,16,18750.0
Mitsubishi,Outlander,2013,SUV,222369.0,2000.0,Plug-in Hybrid,Automatic,13400.0,9,24707.666666666668
BMW,Rare,2015,Sedan,80000.0,2000.0,Petrol,Automatic,19999.0,7,11428.57142857143
KIA,Rio,2006,Hatchback,290000.0,1500.0,Diesel,Manual,3200.0,16,18125.0
BMW,3 Series,2000,Sedan,200000.0,2000.0,Diesel,Manual,3500.0,22,9090.90909090909
Mercedes,E Class,2017,Sedan,50000.0,2000.0,Petrol,Automatic,29900.0,5,10000.0
Toyota,Corolla Verso,2007,Universal,302718.0,2231.0,Diesel,Manual,7000.0,15,20181.2
Volkswagen,Passat,2015,Universal,115000.0,1400.0,Petrol,Automatic,11200.0,7,16428.571428571428
Volkswagen,Passat,2015,Sedan,106000.0,2000.0,Diesel,Automatic,13799.0,7,15142.857142857143
Suzuki,Rare,2006,Crossover,215800.0,2000.0,Petrol,Automatic,7200.0,16,13487.5
Volkswagen,Caddy,2012,Minivan,186000.0,1600.0,Diesel,Manual,6200.0,10,18600.0
Land Rover,Range Rover Sport,2013,SUV,215000.0,3000.0,Petrol,Automatic,39000.0,9,23888.88888888889
Mazda,Rare,2007,SUV,173451.0,2300.0,Metan/Propan,Automatic,6750.0,15,11563.4
Volkswagen,Passat,2008,Universal,260000.0,1798.0,Petrol,Manual,5550.0,14,18571.428571428572
Audi,A4,2012,Universal,186400.0,1799.0,Petrol,Manual,9499.0,10,18640.0
Skoda,Rare,2017,Universal,137000.0,1400.0,Metan/Propan,Automatic,12950.0,5,27400.0
Mercedes,Vito,2015,Microvan,216000.0,2200.0,Diesel,Automatic,20000.0,7,30857.14285714286
Skoda,Superb,2016,Sedan,105000.0,2000.0,Diesel,Automatic,23500.0,6,17500.0
BMW,5 Series,2004,Sedan,218569.0,3000.0,Diesel,Manual,13300.0,18,12142.722222222223
Skoda,Octavia,2018,Sedan,157000.0,1600.0,Diesel,Automatic,15800.0,4,39250.0
Mercedes,M Class,2005,SUV,195400.0,2700.0,Diesel,Automatic,4500.0,17,11494.117647058823
Volkswagen,Rare,2005,Sedan,193000.0,3000.0,Diesel,Automatic,9499.0,17,11352.941176470587
BMW,3 Series,2000,Universal,300000.0,2000.0,Petrol,Automatic,4500.0,22,13636.363636363636
Volkswagen,Golf,2011,Hatchback,155849.0,1400.0,Petrol,Automatic,7850.0,11,14168.09090909091
Mercedes,Vito,2010,Minivan,220000.0,2200.0,Diesel,Automatic,10999.0,12,18333.333333333332
Volkswagen,Jetta,2013,Sedan,175000.0,1400.0,Hybrid,Automatic,9390.0,9,19444.444444444445
Mazda,Rare,2005,Hatchback,109131.0,1388.0,Petrol,Automatic,4300.0,17,6419.470588235294
Chevrolet,Rare,2012,Hatchback,140000.0,1400.0,Plug-in Hybrid,Automatic,8299.0,10,14000.0
Mercedes,E Class,2006,Sedan,400000.0,2200.0,Diesel,Manual,8200.0,16,25000.0
Nissan,Qashqai,2016,Crossover,175000.0,1500.0,Diesel,Manual,12999.0,6,29166.666666666668
Toyota,Prius,2015,Hatchback,165000.0,1800.0,Hybrid,Automatic,10200.0,7,23571.428571428572
BMW,5 Series,2000,Sedan,227000.0,2000.0,Petrol,Manual,5490.0,22,10318.181818181818
BMW,5 Series,2005,Sedan,256105.0,2500.0,Metan/Propan,Automatic,7599.0,17,15065.0
Honda,CR-V,2004,Crossover,225000.0,2000.0,Metan/Propan,Automatic,6800.0,18,12500.0
Lexus,RX Series,2010,Crossover,241000.0,3500.0,Hybrid,Automatic,19999.0,12,20083.333333333332
Renault,Grand Scenic,2015,Universal,177000.0,1500.0,Diesel,Automatic,8900.0,7,25285.714285714286
Volkswagen,Jetta,2013,Sedan,119000.0,1400.0,Petrol,Automatic,8500.0,9,13222.222222222223
Renault,Scenic,2013,Hatchback,124000.0,1500.0,Diesel,Manual,8490.0,9,13777.777777777777
Skoda,Rare,2008,Universal,229000.0,1400.0,Metan/Propan,Manual,3999.0,14,16357.142857142857
Peugeot,Rare,2009,Hatchback,175000.0,1400.0,Petrol,Automatic,5200.0,13,13461.538461538461
BMW,3 Series,2012,Sedan,223000.0,2000.0,Diesel,Manual,13500.0,10,22300.0
Toyota,Land Cruiser Prado,2014,Universal,102000.0,2700.0,Metan/Propan,Automatic,24900.0,8,12750.0
Toyota,Corolla,2006,Hatchback,176850.0,1600.0,Metan/Propan,Manual,4499.0,16,11053.125
Volkswagen,Passat,2017,Sedan,120000.0,1800.0,Petrol,Automatic,12900.0,5,24000.0
Skoda,Octavia,2017,Universal,123600.0,1400.0,Metan/Propan,Automatic,12350.0,5,24720.0
Skoda,Rare,2018,Crossover,25000.0,2000.0,Petrol,Automatic,27999.0,4,6250.0
Chrysler,Rare,2011,Sedan,86000.0,2400.0,Metan/Propan,Automatic,6999.0,11,7818.181818181818
Mercedes,Vito,2007,Minivan,280788.0,2200.0,Diesel,Manual,8490.0,15,18719.2
BMW,Rare,2012,Hatchback,103640.0,1600.0,Petrol,Manual,9199.0,10,10364.0
Honda,CR-V,2020,Crossover,8000.0,2000.0,Hybrid,Automatic,31900.0,2,4000.0
Skoda,Octavia,2012,Hatchback,176000.0,1400.0,Petrol,Manual,5800.0,10,17600.0
Opel,Zafira,2005,Minivan,245000.0,1800.0,Metan/Propan,Manual,4490.0,17,14411.764705882353
Mercedes,C Class,2005,Sedan,249000.0,1800.0,Metan/Propan,Manual,5990.0,17,14647.058823529413
Skoda,Fabia,2010,Universal,221300.0,1200.0,Metan/Propan,Manual,3800.0,12,18441.666666666668
BMW,5 Series,2012,Sedan,170000.0,2000.0,Petrol,Automatic,12999.0,10,17000.0
Hyundai,Tucson,2016,Crossover,55000.0,1600.0,Petrol,Automatic,14300.0,6,9166.666666666666
Land Rover,Freelander,2007,Crossover,223000.0,2200.0,Diesel,Manual,7999.0,15,14866.666666666666
Volkswagen,Sharan,2011,Minivan,155000.0,1400.0,Petrol,Manual,9499.0,11,14090.90909090909
Audi,Rare,2016,SUV,146000.0,2000.0,Petrol,Automatic,12300.0,6,24333.333333333332
Toyota,Avensis,2010,Sedan,270000.0,1996.0,Diesel,Manual,8250.0,12,22500.0
Rare,Rare,1995,Hatchback,275000.0,2300.0,Petrol,Manual,36000.0,27,10185.185185185184
Ford,Focus,2014,Hatchback,121000.0,1000.0,Petrol,Manual,6300.0,8,15125.0
Renault,Grand Scenic,2014,Minivan,161000.0,1500.0,Diesel,Automatic,9200.0,8,20125.0
Land Rover,Range Rover,2006,Crossover,214000.0,3600.0,Diesel,Automatic,13350.0,16,13375.0
Renault,Rare,2005,Minivan,23000.0,2000.0,Metan/Propan,Manual,3900.0,17,1352.9411764705883
Citroen,Rare,2010,Combi,267000.0,1400.0,Diesel,Manual,3850.0,12,22250.0
Mercedes,Vito,2014,Minivan,230000.0,2200.0,Diesel,Automatic,15990.0,8,28750.0
Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,Automatic,8600.0,9,22000.0
Honda,Rare,2018,Sedan,82000.0,1500.0,Plug-in Hybrid,Automatic,18500.0,4,20500.0
BMW,X3,2010,Crossover,220000.0,2000.0,Diesel,Automatic,9700.0,12,18333.333333333332
Hyundai,Rare,2017,Hatchback,40718.0,1000.0,Petrol,Manual,10700.0,5,8143.6
Lexus,RX Series,2004,SUV,216000.0,2995.0,Metan/Propan,Automatic,8800.0,18,12000.0
BMW,X3,2014,Crossover,170000.0,2000.0,Diesel,Automatic,21500.0,8,21250.0
BMW,5 Series,2004,Sedan,356000.0,3000.0,Diesel,Automatic,8500.0,18,19777.777777777777
Mercedes,E Class,2017,Universal,166000.0,1950.0,Diesel,Automatic,22990.0,5,33200.0
Honda,Accord,2010,Sedan,234000.0,1994.0,Petrol,Automatic,10499.0,12,19500.0
Volkswagen,Transporter,2011,Minivan,210000.0,2000.0,Diesel,Automatic,10500.0,11,19090.909090909092
Renault,Clio,2016,Hatchback,36000.0,1500.0,Diesel,Automatic,9500.0,6,6000.0
Ford,Rare,1989,Sedan,45000.0,2300.0,Petrol,Automatic,1200.0,33,1363.6363636363637
Jaguar,Rare,2018,Crossover,69000.0,1997.0,Petrol,Automatic,33000.0,4,17250.0
Hyundai,Rare,2012,Hatchback,136454.0,1300.0,Petrol,Manual,4950.0,10,13645.4
Honda,Accord,2008,Sedan,165000.0,1997.0,Petrol,Manual,9100.0,14,11785.714285714286
Skoda,Fabia,2015,Universal,107000.0,1400.0,Diesel,Automatic,8500.0,7,15285.714285714286
Land Rover,Freelander,2007,Crossover,134000.0,2200.0,Diesel,Automatic,10300.0,15,8933.333333333334
Audi,Q5,2013,Crossover,126590.0,2000.0,Petrol,Automatic,18000.0,9,14065.555555555555
Mercedes,Rare,2014,Minivan,170000.0,220.0,Diesel,Automatic,28500.0,8,21250.0
Toyota,Prius,2010,Hatchback,208000.0,1800.0,Petrol,Automatic,7899.0,12,17333.333333333332
Seat,Ibiza,2010,Universal,223000.0,1200.0,Diesel,Manual,4500.0,12,18583.333333333332
Skoda,Superb,2009,Sedan,280000.0,2000.0,Diesel,Automatic,10000.0,13,21538.46153846154
BMW,Rare,2016,Crossover,32400.0,1999.0,Petrol,Automatic,24999.0,6,5400.0
Volkswagen,Touran,2005,Minivan,240000.0,1600.0,Petrol,Automatic,4850.0,17,14117.64705882353
Audi,Q7,2015,SUV,190000.0,3000.0,Diesel,Automatic,35400.0,7,27142.85714285714
Volkswagen,Tiguan,2013,Crossover,180282.0,2000.0,Diesel,Manual,14900.0,9,20031.333333333332
Volkswagen,Caddy,2013,Minivan,119000.0,1600.0,Diesel,Manual,8500.0,9,13222.222222222223
Toyota,Avensis,2013,Universal,200000.0,2200.0,Diesel,Automatic,10500.0,9,22222.222222222223
Dacia,Logan,2006,Sedan,303000.0,1390.0,Metan/Propan,Manual,1800.0,16,18937.5
Renault,Kadjar,2017,Crossover,162000.0,1496.0,Diesel,Automatic,12900.0,5,32400.0
Porsche,Rare,2012,Sedan,87000.0,3000.0,Hybrid,Automatic,24500.0,10,8700.0
BMW,5 Series,2003,Sedan,300000.0,2200.0,Petrol,Manual,7000.0,19,15789.473684210527
Porsche,Rare,2020,Hatchback,27000.0,3000.0,Petrol,Automatic,99900.0,2,13500.0
Opel,Combo,2018,Minivan,19000.0,1400.0,Petrol,Manual,10500.0,4,4750.0
Honda,Rare,2010,Hatchback,183000.0,1300.0,Hybrid,Automatic,6400.0,12,15250.0
Volkswagen,Caddy,2009,Combi,146454.0,2000.0,Diesel,Manual,3999.0,13,11265.692307692309
Citroen,Rare,2012,Hatchback,101211.0,1000.0,Petrol,Manual,3750.0,10,10121.1
Mitsubishi,Outlander,2014,Crossover,171524.0,2000.0,Plug-in Hybrid,Automatic,13300.0,8,21440.5
Honda,CR-V,2014,Crossover,183021.0,1600.0,Diesel,Manual,13999.0,8,22877.625
Audi,Q7,2008,Crossover,248453.0,3600.0,Petrol,Automatic,13800.0,14,17746.64285714286
Skoda,Octavia,2008,Sedan,205121.0,1800.0,Petrol,Manual,4999.0,14,14651.5
Volkswagen,Golf,2012,Universal,147208.0,1400.0,Petrol,Manual,7500.0,10,14720.8
Renault,Grand Scenic,2012,Universal,171200.0,1500.0,Diesel,Manual,7300.0,10,17120.0
Renault,Grand Scenic,2011,Universal,157544.0,1500.0,Diesel,Manual,6500.0,11,14322.181818181818
Renault,Grand Scenic,2011,Universal,164892.0,1400.0,Petrol,Manual,6100.0,11,14990.181818181818
Hyundai,Sonata,2016,Sedan,45074.0,2000.0,Plug-in Hybrid,Automatic,16999.0,6,7512.333333333333
Renault,Grand Scenic,2011,Universal,156290.0,1500.0,Diesel,Manual,7200.0,11,14208.181818181818
BMW,5 Series,1999,Sedan,223237.0,2000.0,Metan/Propan,Manual,4500.0,23,9705.95652173913
Ford,Mondeo,2018,Universal,103121.0,1500.0,Metan/Propan,Automatic,11700.0,4,25780.25
Renault,Kadjar,2016,Crossover,190000.0,1500.0,Diesel,Automatic,14400.0,6,31666.666666666668
Mercedes,Vito,2006,Minivan,304000.0,2200.0,Diesel,Manual,5200.0,16,19000.0
Audi,A4,2016,Universal,195232.0,2000.0,Diesel,Manual,13800.0,6,32538.666666666668
Audi,Q5,2012,Crossover,112114.0,2000.0,Petrol,Automatic,15000.0,10,11211.4
Renault,Grand Scenic,2006,Universal,187211.0,1500.0,Diesel,Manual,3999.0,16,11700.6875
Audi,Q7,2008,Crossover,173111.0,3000.0,Diesel,Automatic,18999.0,14,12365.07142857143
Renault,Grand Scenic,2017,Universal,156802.0,1500.0,Diesel,Automatic,13500.0,5,31360.4
Toyota,Camry,2005,Sedan,157085.0,2400.0,Metan/Propan,Automatic,5500.0,17,9240.29411764706
Subaru,Rare,2010,Universal,195000.0,2000.0,Diesel,Manual,9800.0,12,16250.0
Dacia,Duster,2013,Crossover,155211.0,1500.0,Diesel,Manual,7999.0,9,17245.666666666668
Toyota,Auris,2015,Hatchback,179713.0,1400.0,Diesel,Manual,9500.0,7,25673.285714285714
Mercedes,C Class,2006,Sedan,286223.0,1800.0,Metan/Propan,Manual,5999.0,16,17888.9375
Volkswagen,Transporter,2013,Crossover,233000.0,2000.0,Diesel,Manual,11500.0,9,25888.88888888889
Ford,Fusion,2014,Sedan,120788.0,2000.0,Plug-in Hybrid,Automatic,11999.0,8,15098.5
Audi,Q5,2018,SUV,17700.0,2995.0,Petrol,Automatic,44500.0,4,4425.0
Renault,Altele,1986,Universal,250000.0,1400.0,Petrol,Manual,13000.0,36,6944.444444444444
Volkswagen,Passat,2012,Universal,170000.0,1400.0,Metan/Propan,Manual,8300.0,10,17000.0
Audi,A6,2003,Sedan,370000.0,2500.0,Diesel,Manual,4850.0,19,19473.684210526317
Vaz,2106,1999,Sedan,150000.0,1500.0,Petrol,Manual,5000.0,23,6521.739130434783
Volkswagen,Passat,1991,Universal,350000.0,1800.0,Metan/Propan,Manual,1500.0,31,11290.322580645161
Opel,Zafira,2004,Minivan,300000.0,1600.0,Metan/Propan,Manual,2900.0,18,16666.666666666668
Hyundai,Rare,1994,Hatchback,230000.0,1500.0,Petrol,Manual,1450.0,28,8214.285714285714
Toyota,Auris,2012,Hatchback,180000.0,1800.0,Hybrid,Automatic,8490.0,10,18000.0
Volvo,XC60,2012,Crossover,127345.0,2000.0,Petrol,Automatic,13500.0,10,12734.5
Renault,Scenic,2011,Minivan,291000.0,1500.0,Diesel,Manual,5650.0,11,26454.545454545456
Dacia,Logan Mcv,2007,Universal,225000.0,1600.0,Metan/Propan,Manual,3850.0,15,15000.0
Renault,Laguna,2008,Universal,193000.0,1500.0,Diesel,Manual,4999.0,14,13785.714285714286
Skoda,Octavia,2006,Sedan,267000.0,2000.0,Metan/Propan,Manual,4999.0,16,16687.5
Dacia,Logan Mcv,2008,Universal,250000.0,1500.0,Diesel,Manual,4350.0,14,17857.14285714286
Dacia,Logan,2011,Sedan,267000.0,1200.0,Petrol,Manual,2750.0,11,24272.727272727272
Volkswagen,Transporter,1999,Minivan,250000.0,1900.0,Diesel,Manual,3999.0,23,10869.565217391304
Lexus,GS Series,2006,Sedan,288000.0,3000.0,Petrol,Automatic,7499.0,16,18000.0
Land Rover,Rare,2014,SUV,113000.0,2200.0,Diesel,Automatic,20999.0,8,14125.0
Volkswagen,Jetta,2013,Sedan,196000.0,1400.0,Hybrid,Automatic,8499.0,9,21777.777777777777
Land Rover,Freelander,2011,SUV,262000.0,2200.0,Diesel,Automatic,12999.0,11,23818.18181818182
Opel,Combo,2008,Minivan,227000.0,1300.0,Diesel,Manual,3999.0,14,16214.285714285714
BMW,7 Series,1999,Sedan,390000.0,2800.0,Petrol,Automatic,4999.0,23,16956.521739130436
Toyota,Avalon,2015,Sedan,96000.0,2500.0,Hybrid,Automatic,17999.0,7,13714.285714285714
Vaz,Rare,2006,Universal,167000.0,1600.0,Petrol,Manual,1999.0,16,10437.5
Audi,A4,2015,Sedan,28000.0,2000.0,Petrol,Automatic,13999.0,7,4000.0
Opel,Astra,2006,Hatchback,110000.0,1900.0,Diesel,Manual,3999.0,16,6875.0
Toyota,Auris,2007,Hatchback,232000.0,1400.0,Diesel,Manual,5750.0,15,15466.666666666666
Mazda,Rare,2005,Hatchback,177000.0,1200.0,Petrol,Manual,2999.0,17,10411.764705882353
Renault,Megane,2014,Universal,214000.0,1500.0,Diesel,Manual,6750.0,8,26750.0
Volvo,XC90,2008,SUV,273000.0,2400.0,Diesel,Automatic,12500.0,14,19500.0
Lexus,NX Series,2018,SUV,93000.0,3000.0,Hybrid,Automatic,31450.0,4,23250.0
Toyota,Rare,2017,Sedan,70000.0,1800.0,Hybrid,Automatic,16300.0,5,14000.0
Nissan,Qashqai,2014,Crossover,98800.0,1500.0,Diesel,Manual,12690.0,8,12350.0
Dacia,Duster,2014,Crossover,137000.0,1500.0,Diesel,Manual,10490.0,8,17125.0
Toyota,Auris,2015,Universal,159000.0,1800.0,Hybrid,Automatic,11990.0,7,22714.285714285714
Citroen,Rare,2012,Hatchback,183000.0,2000.0,Hybrid,Automatic,9990.0,10,18300.0
Nissan,Juke,2013,Crossover,149000.0,1600.0,Petrol,Automatic,10490.0,9,16555.555555555555
Renault,Kadjar,2016,Crossover,166000.0,1500.0,Diesel,Automatic,13990.0,6,27666.666666666668
Mercedes,E Class,2003,Sedan,364000.0,3222.0,Diesel,Automatic,5500.0,19,19157.894736842107
Toyota,Avalon,2013,Sedan,60500.0,2500.0,Hybrid,Automatic,16500.0,9,6722.222222222223
Skoda,Superb,2008,Sedan,200000.0,1989.0,Diesel,Manual,6290.0,14,14285.714285714286
Jeep,Rare,2003,SUV,360000.0,2700.0,Diesel,Automatic,2500.0,19,18947.36842105263
Nissan,Qashqai,2009,Crossover,265000.0,1500.0,Diesel,Manual,6800.0,13,20384.615384615383
Nissan,Qashqai,2011,SUV,236000.0,1500.0,Diesel,Manual,7700.0,11,21454.545454545456
Dacia,Duster,2015,Crossover,101000.0,1461.0,Diesel,Manual,7400.0,7,14428.57142857143
Lexus,RX Series,2008,SUV,224000.0,3500.0,Petrol,Automatic,16000.0,14,16000.0
Mercedes,E Class,2003,Sedan,312000.0,1800.0,Petrol,Automatic,3800.0,19,16421.052631578947
Hyundai,Rare,2014,Hatchback,90000.0,1200.0,Diesel,Manual,7499.0,8,11250.0
Opel,Zafira,2005,Minivan,200000.0,1600.0,Metan/Propan,Manual,2800.0,17,11764.70588235294
Daewoo,Rare,2008,Sedan,94513.0,800.0,Petrol,Manual,890.0,14,6750.928571428572
Ford,Mondeo,1995,Universal,236424.0,1600.0,Petrol,Manual,600.0,27,8756.444444444445
BMW,5 Series,2015,Sedan,180689.0,2000.0,Diesel,Automatic,21500.0,7,25812.714285714286
Dacia,Logan,2009,Minivan,14200.0,1600.0,Metan/Propan,Manual,1200.0,13,1092.3076923076924
Volkswagen,Passat,2012,Universal,213000.0,1390.0,Petrol,Manual,8000.0,10,21300.0
Volkswagen,Tiguan,2015,Crossover,108000.0,2000.0,Petrol,Automatic,13900.0,7,15428.57142857143
